TargetID	TargetLocation
Lmbrd1_2548	chr1:024378544-25066299
Lmbrd1_2549	chr1:024378544-25066299
Lmbrd1_2551	chr1:024378544-25066299
Lmbrd1_2553	chr1:024378544-25066299
Lmbrd1_2558	chr1:024378544-25066299
Lmbrd1_2562	chr1:024378544-25066299
Lmbrd1_2575	chr1:024378544-25066299
Lmbrd1_2576	chr1:024378544-25066299
Lmbrd1_2594	chr1:024378544-25066299
Lmbrd1_2604	chr1:024378544-25066299
Lmbrd1_2605	chr1:024378544-25066299
Lmbrd1_2627	chr1:024378544-25066299
Lmbrd1_2628	chr1:024378544-25066299
Lmbrd1_2644	chr1:024378544-25066299
Lmbrd1_2654	chr1:024378544-25066299
Lmbrd1_2708	chr1:024378544-25066299
Lmbrd1_2709	chr1:024378544-25066299
Lmbrd1_2710	chr1:024378544-25066299
Lmbrd1_2730	chr1:024378544-25066299
Lmbrd1_2731	chr1:024378544-25066299
Lmbrd1_2734	chr1:024378544-25066299
Lmbrd1_2735	chr1:024378544-25066299
Lmbrd1_2736	chr1:024378544-25066299
Lmbrd1_2740	chr1:024378544-25066299
Lmbrd1_2777	chr1:024378544-25066299
Lmbrd1_2790	chr1:024378544-25066299
Lmbrd1_2791	chr1:024378544-25066299
Lmbrd1_2792	chr1:024378544-25066299
Lmbrd1_2800	chr1:024378544-25066299
Lmbrd1_2820	chr1:024378544-25066299
Lmbrd1_2827	chr1:024378544-25066299
Lmbrd1_2830	chr1:024378544-25066299
Lmbrd1_2831	chr1:024378544-25066299
Lmbrd1_2851	chr1:024378544-25066299
Lmbrd1_2868	chr1:024378544-25066299
Lmbrd1_2869	chr1:024378544-25066299
Lmbrd1_2885	chr1:024378544-25066299
Lmbrd1_2896	chr1:024378544-25066299
Lmbrd1_2897	chr1:024378544-25066299
Lmbrd1_2914	chr1:024378544-25066299
Lmbrd1_2935	chr1:024378544-25066299
Lmbrd1_2936	chr1:024378544-25066299
Lmbrd1_2937	chr1:024378544-25066299
Lmbrd1_2938	chr1:024378544-25066299
Lmbrd1_2944	chr1:024378544-25066299
Lmbrd1_2955	chr1:024378544-25066299
Lmbrd1_2956	chr1:024378544-25066299
Lmbrd1_2960	chr1:024378544-25066299
Lmbrd1_2963	chr1:024378544-25066299
Lmbrd1_2964	chr1:024378544-25066299
Lmbrd1_2968	chr1:024378544-25066299
Lmbrd1_2970	chr1:024378544-25066299
Lmbrd1_2974	chr1:024378544-25066299
Lmbrd1_2980	chr1:024378544-25066299
Lmbrd1_2981	chr1:024378544-25066299
Lmbrd1_2982	chr1:024378544-25066299
Lmbrd1_2989	chr1:024378544-25066299
Lmbrd1_3044	chr1:024378544-25066299
Lmbrd1_3066	chr1:024378544-25066299
Lmbrd1_3067	chr1:024378544-25066299
Lmbrd1_3191	chr1:024378544-25066299
Lmbrd1_3195	chr1:024378544-25066299
Lmbrd1_3219	chr1:024378544-25066299
Lmbrd1_3221	chr1:024378544-25066299
Lmbrd1_3244	chr1:024378544-25066299
Lmbrd1_3275	chr1:024378544-25066299
Lmbrd1_3278	chr1:024378544-25066299
Ccdc115_1880	chr1:034136671-34739672
Ccdc115_1881	chr1:034136671-34739672
Ccdc115_1888	chr1:034136671-34739672
Ccdc115_1891	chr1:034136671-34739672
Ccdc115_1893	chr1:034136671-34739672
Ccdc115_1894	chr1:034136671-34739672
Ccdc115_1899	chr1:034136671-34739672
Ccdc115_1908	chr1:034136671-34739672
Ccdc115_1930	chr1:034136671-34739672
Ccdc115_1931	chr1:034136671-34739672
Ccdc115_1932	chr1:034136671-34739672
Ccdc115_1933	chr1:034136671-34739672
Ccdc115_1934	chr1:034136671-34739672
Ccdc115_1946	chr1:034136671-34739672
Ccdc115_1947	chr1:034136671-34739672
Ccdc115_1963	chr1:034136671-34739672
Ccdc115_1968	chr1:034136671-34739672
Ccdc115_1970	chr1:034136671-34739672
Ccdc115_1972	chr1:034136671-34739672
Ccdc115_1974	chr1:034136671-34739672
Ccdc115_1996	chr1:034136671-34739672
Ccdc115_2000	chr1:034136671-34739672
Ccdc115_2001	chr1:034136671-34739672
Ccdc115_2015	chr1:034136671-34739672
Ccdc115_2039	chr1:034136671-34739672
Ccdc115_2053	chr1:034136671-34739672
Ccdc115_2179	chr1:034136671-34739672
Ccdc115_2181	chr1:034136671-34739672
Ccdc115_2182	chr1:034136671-34739672
Ccdc115_2216	chr1:034136671-34739672
Ccdc115_2221	chr1:034136671-34739672
Ccdc115_2223	chr1:034136671-34739672
Ccdc115_2224	chr1:034136671-34739672
Ccdc115_2230	chr1:034136671-34739672
Ccdc115_2231	chr1:034136671-34739672
Ccdc115_2232	chr1:034136671-34739672
Ccdc115_2233	chr1:034136671-34739672
Ccdc115_2234	chr1:034136671-34739672
Ccdc115_2237	chr1:034136671-34739672
Ccdc115_2245	chr1:034136671-34739672
Ccdc115_2246	chr1:034136671-34739672
Ccdc115_2247	chr1:034136671-34739672
Ccdc115_2250	chr1:034136671-34739672
Ccdc115_2251	chr1:034136671-34739672
Ccdc115_2252	chr1:034136671-34739672
Ccdc115_2253	chr1:034136671-34739672
Ccdc115_2254	chr1:034136671-34739672
Ccdc115_2255	chr1:034136671-34739672
Ccdc115_2260	chr1:034136671-34739672
Ccdc115_2261	chr1:034136671-34739672
Ccdc115_2265	chr1:034136671-34739672
Ccdc115_2266	chr1:034136671-34739672
Ccdc115_2269	chr1:034136671-34739672
Ccdc115_2270	chr1:034136671-34739672
Ccdc115_2276	chr1:034136671-34739672
Ccdc115_2285	chr1:034136671-34739672
Ccdc115_2289	chr1:034136671-34739672
Ccdc115_2290	chr1:034136671-34739672
Ccdc115_2291	chr1:034136671-34739672
Ccdc115_2293	chr1:034136671-34739672
Ccdc115_2294	chr1:034136671-34739672
Ccdc115_2296	chr1:034136671-34739672
Ccdc115_2319	chr1:034136671-34739672
Ccdc115_2413	chr1:034136671-34739672
Ccdc115_2415	chr1:034136671-34739672
Ccdc115_2416	chr1:034136671-34739672
Ccdc115_2434	chr1:034136671-34739672
Ccdc115_2435	chr1:034136671-34739672
Ccdc115_2438	chr1:034136671-34739672
Ccdc115_2439	chr1:034136671-34739672
Ccdc115_2440	chr1:034136671-34739672
Ccdc115_2444	chr1:034136671-34739672
Ccdc115_2474	chr1:034136671-34739672
Ccdc115_2479	chr1:034136671-34739672
Ccdc115_2492	chr1:034136671-34739672
Ccdc115_2504	chr1:034136671-34739672
Ccdc115_2509	chr1:034136671-34739672
Ccdc115_2510	chr1:034136671-34739672
Ccdc115_2511	chr1:034136671-34739672
Ccdc115_2512	chr1:034136671-34739672
Ccdc115_2513	chr1:034136671-34739672
Ccdc115_2514	chr1:034136671-34739672
Ccdc115_2517	chr1:034136671-34739672
Ccdc115_2521	chr1:034136671-34739672
Ccdc115_2560	chr1:034136671-34739672
Ccdc115_2571	chr1:034136671-34739672
Ccdc115_2603	chr1:034136671-34739672
Ccdc115_2604	chr1:034136671-34739672
Ccdc115_2608	chr1:034136671-34739672
Ccdc115_2609	chr1:034136671-34739672
Ccdc115_2610	chr1:034136671-34739672
Ccdc115_2611	chr1:034136671-34739672
Ccdc115_2612	chr1:034136671-34739672
Casp8_1316_Cflar_1965	chr1:058495374-59147503
Casp8_1336_Cflar_1985	chr1:058495374-59147503
Casp8_1337_Cflar_1986	chr1:058495374-59147503
Casp8_1342_Cflar_1991	chr1:058495374-59147503
Casp8_1390_Cflar_2039	chr1:058495374-59147503
Casp8_1391_Cflar_2040	chr1:058495374-59147503
Casp8_1653_Cflar_2302	chr1:058495374-59147503
Casp8_1658_Cflar_2307	chr1:058495374-59147503
Casp8_1659_Cflar_2308	chr1:058495374-59147503
Casp8_1660_Cflar_2309	chr1:058495374-59147503
Casp8_1661_Cflar_2310	chr1:058495374-59147503
Casp8_1667_Cflar_2316	chr1:058495374-59147503
Casp8_1669_Cflar_2318	chr1:058495374-59147503
Casp8_1670_Cflar_2319	chr1:058495374-59147503
Casp8_1671_Cflar_2320	chr1:058495374-59147503
Casp8_1672_Cflar_2321	chr1:058495374-59147503
Casp8_1675_Cflar_2324	chr1:058495374-59147503
Casp8_1687_Cflar_2336	chr1:058495374-59147503
Casp8_1690_Cflar_2339	chr1:058495374-59147503
Casp8_1691_Cflar_2340	chr1:058495374-59147503
Casp8_1692_Cflar_2341	chr1:058495374-59147503
Casp8_1701_Cflar_2350	chr1:058495374-59147503
Casp8_1715_Cflar_2364	chr1:058495374-59147503
Casp8_1716_Cflar_2365	chr1:058495374-59147503
Casp8_1717_Cflar_2366	chr1:058495374-59147503
Casp8_1720_Cflar_2369	chr1:058495374-59147503
Casp8_1721_Cflar_2370	chr1:058495374-59147503
Casp8_1725_Cflar_2374	chr1:058495374-59147503
Casp8_1748_Cflar_2397	chr1:058495374-59147503
Casp8_1749_Cflar_2398	chr1:058495374-59147503
Casp8_1754_Cflar_2403	chr1:058495374-59147503
Casp8_1767_Cflar_2416	chr1:058495374-59147503
Casp8_1771_Cflar_2420	chr1:058495374-59147503
Casp8_1784_Cflar_2433	chr1:058495374-59147503
Casp8_1790_Cflar_2439	chr1:058495374-59147503
Casp8_1791_Cflar_2440	chr1:058495374-59147503
Casp8_1792_Cflar_2441	chr1:058495374-59147503
Casp8_1798_Cflar_2447	chr1:058495374-59147503
Casp8_1848_Cflar_2497	chr1:058495374-59147503
Casp8_1855_Cflar_2504	chr1:058495374-59147503
Casp8_1857_Cflar_2506	chr1:058495374-59147503
Casp8_1858_Cflar_2507	chr1:058495374-59147503
Casp8_1859_Cflar_2508	chr1:058495374-59147503
Casp8_1876_Cflar_2525	chr1:058495374-59147503
Casp8_1891_Cflar_2540	chr1:058495374-59147503
Casp8_1892_Cflar_2541	chr1:058495374-59147503
Casp8_1902_Cflar_2551	chr1:058495374-59147503
Casp8_1906_Cflar_2555	chr1:058495374-59147503
Casp8_1916_Cflar_2565	chr1:058495374-59147503
Casp8_1923_Cflar_2572	chr1:058495374-59147503
Casp8_1926_Cflar_2575	chr1:058495374-59147503
Casp8_1930_Cflar_2579	chr1:058495374-59147503
Casp8_1931_Cflar_2580	chr1:058495374-59147503
Casp8_1932_Cflar_2581	chr1:058495374-59147503
Casp8_1933_Cflar_2582	chr1:058495374-59147503
Casp8_1937_Cflar_2586	chr1:058495374-59147503
Casp8_1943_Cflar_2592	chr1:058495374-59147503
Casp8_1944_Cflar_2593	chr1:058495374-59147503
Casp8_1945_Cflar_2594	chr1:058495374-59147503
Casp8_1946_Cflar_2595	chr1:058495374-59147503
Casp8_1950_Cflar_2599	chr1:058495374-59147503
Casp8_1972_Cflar_2621	chr1:058495374-59147503
Casp8_1974_Cflar_2623	chr1:058495374-59147503
Casp8_1975_Cflar_2624	chr1:058495374-59147503
Casp8_1984_Cflar_2633	chr1:058495374-59147503
Casp8_1985_Cflar_2634	chr1:058495374-59147503
Casp8_1986_Cflar_2635	chr1:058495374-59147503
Casp8_2008_Cflar_2657	chr1:058495374-59147503
Casp8_2310_Cflar_2959	chr1:058495374-59147503
Casp8_2311_Cflar_2960	chr1:058495374-59147503
Casp8_2312_Cflar_2961	chr1:058495374-59147503
Casp8_2319_Cflar_2968	chr1:058495374-59147503
Casp8_2322_Cflar_2971	chr1:058495374-59147503
Casp8_2323_Cflar_2972	chr1:058495374-59147503
Casp8_2324_Cflar_2973	chr1:058495374-59147503
Casp8_2325_Cflar_2974	chr1:058495374-59147503
Casp8_2364_Cflar_3013	chr1:058495374-59147503
Casp8_2368_Cflar_3017	chr1:058495374-59147503
Casp8_2371_Cflar_3020	chr1:058495374-59147503
Casp8_2520_Cflar_3169	chr1:058495374-59147503
Casp8_2542_Cflar_3191	chr1:058495374-59147503
Casp8_2553_Cflar_3202	chr1:058495374-59147503
Casp8_2579_Cflar_3228	chr1:058495374-59147503
Casp8_2596_Cflar_3245	chr1:058495374-59147503
Casp8_2679_Cflar_3328	chr1:058495374-59147503
Casp8_2680_Cflar_3329	chr1:058495374-59147503
Casp8_2682_Cflar_3331	chr1:058495374-59147503
Casp8_2683_Cflar_3332	chr1:058495374-59147503
Casp8_2798_Cflar_3447	chr1:058495374-59147503
Atic_1937	chr1:071257150-71879631
Atic_1938	chr1:071257150-71879631
Atic_1944	chr1:071257150-71879631
Atic_1986	chr1:071257150-71879631
Atic_1988	chr1:071257150-71879631
Atic_1989	chr1:071257150-71879631
Atic_1993	chr1:071257150-71879631
Atic_2007	chr1:071257150-71879631
Atic_2008	chr1:071257150-71879631
Atic_2057	chr1:071257150-71879631
Atic_2060	chr1:071257150-71879631
Atic_2091	chr1:071257150-71879631
Atic_2103	chr1:071257150-71879631
Atic_2128	chr1:071257150-71879631
Atic_2129	chr1:071257150-71879631
Atic_2193	chr1:071257150-71879631
Atic_2212	chr1:071257150-71879631
Atic_2277	chr1:071257150-71879631
Atic_2297	chr1:071257150-71879631
Atic_2298	chr1:071257150-71879631
Atic_2303	chr1:071257150-71879631
Atic_2304	chr1:071257150-71879631
Atic_2305	chr1:071257150-71879631
Atic_2309	chr1:071257150-71879631
Atic_2310	chr1:071257150-71879631
Atic_2314	chr1:071257150-71879631
Atic_2319	chr1:071257150-71879631
Atic_2323	chr1:071257150-71879631
Atic_2324	chr1:071257150-71879631
Atic_2325	chr1:071257150-71879631
Atic_2326	chr1:071257150-71879631
Atic_2329	chr1:071257150-71879631
Atic_2337	chr1:071257150-71879631
Atic_2339	chr1:071257150-71879631
Atic_2351	chr1:071257150-71879631
Atic_2353	chr1:071257150-71879631
Atic_2366	chr1:071257150-71879631
Atic_2378	chr1:071257150-71879631
Atic_2381	chr1:071257150-71879631
Atic_2384	chr1:071257150-71879631
Atic_2385	chr1:071257150-71879631
Atic_2391	chr1:071257150-71879631
Atic_2393	chr1:071257150-71879631
Atic_2394	chr1:071257150-71879631
Atic_2395	chr1:071257150-71879631
Atic_2400	chr1:071257150-71879631
Atic_2404	chr1:071257150-71879631
Atic_2405	chr1:071257150-71879631
Atic_2413	chr1:071257150-71879631
Atic_2419	chr1:071257150-71879631
Atic_2420	chr1:071257150-71879631
Atic_2424	chr1:071257150-71879631
Atic_2425	chr1:071257150-71879631
Atic_2427	chr1:071257150-71879631
Atic_2444	chr1:071257150-71879631
Atic_2445	chr1:071257150-71879631
Atic_2467	chr1:071257150-71879631
Atic_2471	chr1:071257150-71879631
Atic_2472	chr1:071257150-71879631
Atic_2473	chr1:071257150-71879631
Atic_2476	chr1:071257150-71879631
Atic_2477	chr1:071257150-71879631
Atic_2479	chr1:071257150-71879631
Atic_2480	chr1:071257150-71879631
Atic_2484	chr1:071257150-71879631
Atic_2487	chr1:071257150-71879631
Atic_2499	chr1:071257150-71879631
Atic_2500	chr1:071257150-71879631
Atic_2501	chr1:071257150-71879631
Atic_2537	chr1:071257150-71879631
Atic_2538	chr1:071257150-71879631
Atic_2543	chr1:071257150-71879631
Atic_2544	chr1:071257150-71879631
Atic_2549	chr1:071257150-71879631
Atic_2552	chr1:071257150-71879631
Atic_2558	chr1:071257150-71879631
Atic_2567	chr1:071257150-71879631
Atic_2568	chr1:071257150-71879631
Atic_2575	chr1:071257150-71879631
Atic_2579	chr1:071257150-71879631
Atic_2580	chr1:071257150-71879631
Atic_2586	chr1:071257150-71879631
Atic_2587	chr1:071257150-71879631
Atic_2598	chr1:071257150-71879631
Atic_2599	chr1:071257150-71879631
Atic_2600	chr1:071257150-71879631
Atic_2601	chr1:071257150-71879631
Atic_2617	chr1:071257150-71879631
Atic_2620	chr1:071257150-71879631
Atic_2626	chr1:071257150-71879631
Atic_2632	chr1:071257150-71879631
Atic_2634	chr1:071257150-71879631
Atic_2637	chr1:071257150-71879631
Atic_2638	chr1:071257150-71879631
Atic_2643	chr1:071257150-71879631
Atic_2644	chr1:071257150-71879631
Atic_2646	chr1:071257150-71879631
Atic_2647	chr1:071257150-71879631
Atic_2650	chr1:071257150-71879631
Atic_2651	chr1:071257150-71879631
Atic_2654	chr1:071257150-71879631
Atic_2655	chr1:071257150-71879631
Atic_2657	chr1:071257150-71879631
Atic_2659	chr1:071257150-71879631
Atic_2667	chr1:071257150-71879631
Atic_2668	chr1:071257150-71879631
Atic_2669	chr1:071257150-71879631
Atic_2670	chr1:071257150-71879631
Atic_2672	chr1:071257150-71879631
Atic_2675	chr1:071257150-71879631
Atic_2677	chr1:071257150-71879631
Atic_2678	chr1:071257150-71879631
Atic_2686	chr1:071257150-71879631
Atic_2687	chr1:071257150-71879631
Atic_2702	chr1:071257150-71879631
Atic_2711	chr1:071257150-71879631
Atic_2722	chr1:071257150-71879631
Atic_2723	chr1:071257150-71879631
Atic_2732	chr1:071257150-71879631
Atic_2733	chr1:071257150-71879631
Atic_2739	chr1:071257150-71879631
Atic_2741	chr1:071257150-71879631
Atic_2742	chr1:071257150-71879631
Atic_2743	chr1:071257150-71879631
Atic_2745	chr1:071257150-71879631
Atic_2747	chr1:071257150-71879631
Atic_2749	chr1:071257150-71879631
Atic_2750	chr1:071257150-71879631
Atic_2751	chr1:071257150-71879631
Atic_2753	chr1:071257150-71879631
Atic_2760	chr1:071257150-71879631
Atic_2761	chr1:071257150-71879631
Atic_2762	chr1:071257150-71879631
Atic_2768	chr1:071257150-71879631
Atic_2770	chr1:071257150-71879631
Atic_2787	chr1:071257150-71879631
Atic_2788	chr1:071257150-71879631
Atic_2789	chr1:071257150-71879631
Atic_2790	chr1:071257150-71879631
Atic_2797	chr1:071257150-71879631
Atic_2798	chr1:071257150-71879631
Atic_2804	chr1:071257150-71879631
Atic_2805	chr1:071257150-71879631
Atic_2806	chr1:071257150-71879631
Atic_2815	chr1:071257150-71879631
Atic_2823	chr1:071257150-71879631
Atic_2828	chr1:071257150-71879631
Atic_2829	chr1:071257150-71879631
Atic_2830	chr1:071257150-71879631
Atic_2831	chr1:071257150-71879631
Atic_2832	chr1:071257150-71879631
Atic_2841	chr1:071257150-71879631
Atic_2843	chr1:071257150-71879631
Atic_2844	chr1:071257150-71879631
Atic_2845	chr1:071257150-71879631
Atic_2852	chr1:071257150-71879631
Atic_2854	chr1:071257150-71879631
Atic_2855	chr1:071257150-71879631
Atic_2856	chr1:071257150-71879631
Atic_2859	chr1:071257150-71879631
Atic_2860	chr1:071257150-71879631
Atic_2862	chr1:071257150-71879631
Atic_2863	chr1:071257150-71879631
Atic_2868	chr1:071257150-71879631
Atic_2869	chr1:071257150-71879631
Atic_2870	chr1:071257150-71879631
Atic_2871	chr1:071257150-71879631
Cxcr2_1913_Slc11a1_227_Tmbim1_889	chr1:073853989-74461238
Cxcr2_1915_Slc11a1_229_Tmbim1_891	chr1:073853989-74461238
Cxcr2_1926_Slc11a1_240_Tmbim1_902	chr1:073853989-74461238
Cxcr2_1927_Slc11a1_241_Tmbim1_903	chr1:073853989-74461238
Cxcr2_1929_Slc11a1_243_Tmbim1_905	chr1:073853989-74461238
Cxcr2_1936_Slc11a1_250_Tmbim1_912	chr1:073853989-74461238
Cxcr2_1966_Slc11a1_280_Tmbim1_942	chr1:073853989-74461238
Cxcr2_1967_Slc11a1_281_Tmbim1_943	chr1:073853989-74461238
Cxcr2_1968_Slc11a1_282_Tmbim1_944	chr1:073853989-74461238
Cxcr2_1969_Slc11a1_283_Tmbim1_945	chr1:073853989-74461238
Cxcr2_1981_Slc11a1_295_Tmbim1_957	chr1:073853989-74461238
Cxcr2_2013_Slc11a1_327_Tmbim1_989	chr1:073853989-74461238
Cxcr2_2014_Slc11a1_328_Tmbim1_990	chr1:073853989-74461238
Cxcr2_2016_Slc11a1_330_Tmbim1_992	chr1:073853989-74461238
Cxcr2_2028_Slc11a1_342_Tmbim1_1004	chr1:073853989-74461238
Cxcr2_2038_Slc11a1_352_Tmbim1_1014	chr1:073853989-74461238
Cxcr2_2041_Slc11a1_355_Tmbim1_1017	chr1:073853989-74461238
Cxcr2_2046_Slc11a1_360_Tmbim1_1022	chr1:073853989-74461238
Cxcr2_2047_Slc11a1_361_Tmbim1_1023	chr1:073853989-74461238
Cxcr2_2050_Slc11a1_364_Tmbim1_1026	chr1:073853989-74461238
Cxcr2_2051_Slc11a1_365_Tmbim1_1027	chr1:073853989-74461238
Cxcr2_2056_Slc11a1_370_Tmbim1_1032	chr1:073853989-74461238
Cxcr2_2058_Slc11a1_372_Tmbim1_1034	chr1:073853989-74461238
Cxcr2_2059_Slc11a1_373_Tmbim1_1035	chr1:073853989-74461238
Cxcr2_2065_Slc11a1_379_Tmbim1_1041	chr1:073853989-74461238
Cxcr2_2066_Slc11a1_380_Tmbim1_1042	chr1:073853989-74461238
Cxcr2_2067_Slc11a1_381_Tmbim1_1043	chr1:073853989-74461238
Cxcr2_2086_Slc11a1_400_Tmbim1_1062	chr1:073853989-74461238
Cxcr2_2088_Slc11a1_402_Tmbim1_1064	chr1:073853989-74461238
Cxcr2_2096_Slc11a1_410_Tmbim1_1072	chr1:073853989-74461238
Cxcr2_2100_Slc11a1_414_Tmbim1_1076	chr1:073853989-74461238
Cxcr2_2111_Slc11a1_425_Tmbim1_1087	chr1:073853989-74461238
Cxcr2_2136_Slc11a1_450_Tmbim1_1112	chr1:073853989-74461238
Cxcr2_2178_Slc11a1_492_Tmbim1_1154	chr1:073853989-74461238
Cxcr2_2196_Slc11a1_510_Tmbim1_1172	chr1:073853989-74461238
Cxcr2_2236_Slc11a1_550_Tmbim1_1212	chr1:073853989-74461238
Cxcr2_2244_Slc11a1_558_Tmbim1_1220	chr1:073853989-74461238
Cxcr2_2247_Slc11a1_561_Tmbim1_1223	chr1:073853989-74461238
Cxcr2_2248_Slc11a1_562_Tmbim1_1224	chr1:073853989-74461238
Cxcr2_2256_Slc11a1_570_Tmbim1_1232	chr1:073853989-74461238
Cxcr2_2257_Slc11a1_571_Tmbim1_1233	chr1:073853989-74461238
Cxcr2_2259_Slc11a1_573_Tmbim1_1235	chr1:073853989-74461238
Cxcr2_2262_Slc11a1_576_Tmbim1_1238	chr1:073853989-74461238
Cxcr2_2268_Slc11a1_582_Tmbim1_1244	chr1:073853989-74461238
Cxcr2_2283_Slc11a1_597_Tmbim1_1259	chr1:073853989-74461238
Cxcr2_2284_Slc11a1_598_Tmbim1_1260	chr1:073853989-74461238
Cxcr2_2285_Slc11a1_599_Tmbim1_1261	chr1:073853989-74461238
Cxcr2_2286_Slc11a1_600_Tmbim1_1262	chr1:073853989-74461238
Cxcr2_2287_Slc11a1_601_Tmbim1_1263	chr1:073853989-74461238
Cxcr2_2288_Slc11a1_602_Tmbim1_1264	chr1:073853989-74461238
Cxcr2_2289_Slc11a1_603_Tmbim1_1265	chr1:073853989-74461238
Cxcr2_2290_Slc11a1_604_Tmbim1_1266	chr1:073853989-74461238
Cxcr2_2291_Slc11a1_605_Tmbim1_1267	chr1:073853989-74461238
Cxcr2_2292_Slc11a1_606_Tmbim1_1268	chr1:073853989-74461238
Cxcr2_2294_Slc11a1_608_Tmbim1_1270	chr1:073853989-74461238
Cxcr2_2306_Slc11a1_620_Tmbim1_1282	chr1:073853989-74461238
Cxcr2_2307_Slc11a1_621_Tmbim1_1283	chr1:073853989-74461238
Cxcr2_2314_Slc11a1_628_Tmbim1_1290	chr1:073853989-74461238
Cxcr2_2315_Slc11a1_629_Tmbim1_1291	chr1:073853989-74461238
Cxcr2_2316_Slc11a1_630_Tmbim1_1292	chr1:073853989-74461238
Cxcr2_2317_Slc11a1_631_Tmbim1_1293	chr1:073853989-74461238
Cxcr2_2328_Slc11a1_642_Tmbim1_1304	chr1:073853989-74461238
Cxcr2_2329_Slc11a1_643_Tmbim1_1305	chr1:073853989-74461238
Cxcr2_2331_Slc11a1_645_Tmbim1_1307	chr1:073853989-74461238
Cxcr2_2332_Slc11a1_646_Tmbim1_1308	chr1:073853989-74461238
